rank,tool,installs_365d,percent_365d,access,description,homepage,license
1165,verilator,7039,0.01,local-installable,Verilog simulator,https://www.veripool.org/wiki/verilator,LGPL-3.0-only OR Artistic-2.0
1171,ruby@3.1,7004,0.01,local-installable,"Powerful, clean, object-oriented scripting language",https://www.ruby-lang.org/,Ruby
1174,gcc@11,6981,0.01,local-installable,GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
1178,gsl,6942,0.01,local-installable,Numerical library for C and C++,https://www.gnu.org/software/gsl/,GPL-3.0-or-later
1187,ethereum,6821,0.01,local-installable,Official Go implementation of the Ethereum protocol,https://geth.ethereum.org/,LGPL-3.0-or-later
1188,capstone,6813,0.01,local-installable,"Multi-platform, multi-architecture disassembly framework",https://www.capstone-engine.org/,BSD-3-Clause
1203,open-ocd,6666,0.01,local-installable,"On-chip debugging, in-system programming and boundary-scan testing",https://openocd.org/,GPL-2.0-or-later
1204,binaryen,6665,0.01,local-installable,Compiler infrastructure and toolchain library for WebAssembly,https://webassembly.org/,Apache-2.0
1206,nodebrew,6613,0.01,local-installable,Node.js version manager,https://github.com/hokaccha/nodebrew,MIT
1210,vapor,6580,0.01,local-installable,Command-line tool for Vapor (Server-side Swift web framework),https://vapor.codes,MIT
1220,swi-prolog,6523,0.01,local-installable,ISO/Edinburgh-style Prolog interpreter,https://www.swi-prolog.org/,BSD-2-Clause
1221,ghc,6514,0.01,local-installable,Glorious Glasgow Haskell Compilation System,https://haskell.org/ghc/,BSD-3-Clause
1268,libevent,6112,0.01,local-installable,Asynchronous event library,https://libevent.org/,BSD-3-Clause
1269,odin,6108,0.01,local-installable,"Programming language with focus on simplicity, performance and modern systems",https://odin-lang.org/,Zlib
1277,yasm,5990,0.01,local-installable,Modular BSD reimplementation of NASM,https://www.tortall.net/projects/yasm/manual/html/,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-Homebrew-public-domain AND (Artistic-1.0-Perl OR GPL-2.0-or-later OR LGPL-2.0-or-later)
1280,gcc@14,5954,0.01,local-installable,GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
1292,aqua,5831,0.01,local-installable,Declarative CLI Version manager,https://aquaproj.github.io/,MIT
1295,avrdude,5794,0.01,local-installable,Atmel AVR MCU programmer,https://www.nongnu.org/avrdude/,GPL-2.0-or-later
1299,libedit,5757,0.01,local-installable,BSD-style licensed readline alternative,https://thrysoee.dk/editline/,BSD-3-Clause
1306,sdl12-compat,5716,0.01,local-installable,SDL 1.2 compatibility layer that uses SDL 2.0 behind the scenes,https://github.com/libsdl-org/sdl12-compat,Zlib AND MIT-0
1320,gperf,5592,0.01,local-installable,Perfect hash function generator,https://www.gnu.org/software/gperf/,GPL-3.0-or-later
1331,libgccjit,5517,0.01,local-installable,JIT library for the GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
1344,juliaup,5406,0.01,local-installable,Julia installer and version multiplexer,https://github.com/JuliaLang/juliaup,MIT
1363,gcc@13,5287,0.01,local-installable,GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
1368,libtensorflow,5234,0.01,local-installable,C interface for Google's OS library for Machine Intelligence,https://www.tensorflow.org/,Apache-2.0
1369,sundials,5212,0.01,local-installable,Nonlinear and differential/algebraic equations solver,https://computing.llnl.gov/projects/sundials,BSD-3-Clause
1397,mruby,5031,0.01,local-installable,Lightweight implementation of the Ruby language,https://mruby.org/,MIT
1401,wabt,5013,0.01,local-installable,Web Assembly Binary Toolkit,https://github.com/WebAssembly/wabt,Apache-2.0
1402,mlx,5007,0.01,local-installable,Array framework for Apple silicon,https://github.com/ml-explore/mlx,MIT AND Apache-2.0
1405,icarus-verilog,4995,0.01,local-installable,Verilog simulation and synthesis tool,https://steveicarus.github.io/iverilog/,GPL-2.0-or-later AND LGPL-2.1-or-later
1413,asio,4968,0.01,local-installable,Cross-platform C++ Library for asynchronous programming,https://think-async.com/Asio/,BSL-1.0
1433,mold,4816,0,local-installable,Modern Linker,https://github.com/rui314/mold,MIT
1450,bpython,4717,0,local-installable,Fancy interface to the Python interpreter,https://bpython-interpreter.org,MIT
1453,go@1.21,4712,0,local-installable,Open source programming language to build simple/reliable/efficient software,https://go.dev/,BSD-3-Clause
1461,leiningen,4668,0,local-installable,Build tool for Clojure,https://github.com/technomancy/leiningen,EPL-1.0
1465,cargo-c,4644,0,local-installable,Helper program to build and install c-like libraries,https://github.com/lu-zero/cargo-c,MIT
1467,ocaml,4639,0,local-installable,General purpose programming language in the ML family,https://ocaml.org/,LGPL-2.1-only WITH OCaml-LGPL-linking-exception
1471,bdw-gc,4579,0,local-installable,Garbage collector for C and C++,https://www.hboehm.info/gc/,MIT
1487,gcc@12,4428,0,local-installable,GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
1490,cabal-install,4416,0,local-installable,Command-line interface for Cabal and Hackage,https://www.haskell.org/cabal/,BSD-3-Clause
1492,solana,4408,0,local-installable,Web-Scale Blockchain for decentralized apps and marketplaces,https://www.anza.xyz/,Apache-2.0
1494,x86_64-elf-gcc,4404,0,local-installable,GNU compiler collection for x86_64-elf,https://gcc.gnu.org,GPL-3.0-or-later WITH GCC-exception-3.1
