service,description,homepage,protocols,auth_mode,auth_required,api_key_needed,prompt_policy,skills_using_count,skills_using,skill_paths
agg,Asciicast to GIF converter,https://github.com/asciinema/agg,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-media-image-audio-video,skills/generated/shards/nexus-04/b04-media-image-audio-video/SKILL.md
aha,ANSI HTML adapter,https://github.com/theZiz/aha,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-docs-content-publishing,skills/generated/shards/nexus-04/b04-docs-content-publishing/SKILL.md
aicommit2,Reactive CLI that generates commit messages for Git and Jujutsu with AI,https://github.com/tak-bro/aicommit2,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-app-streaming-db-ops,skills/generated/shards/nexus-08/b08-app-streaming-db-ops/SKILL.md
aicommits,Writes your git commit messages for you with AI,https://github.com/Nutlope/aicommits,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-download-db-messaging-sec,skills/generated/shards/nexus-10/b10-download-db-messaging-sec/SKILL.md
aide,File and directory integrity checker,https://aide.github.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-signal-boot-wayland-security,skills/generated/shards/nexus-09/b09-signal-boot-wayland-security/SKILL.md
aider,AI pair programming in your terminal,https://aider.chat/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,ai-assistant-and-coding-clis,skills/generated/shards/nexus-02/ai-assistant-and-coding-clis/SKILL.md
air,Fast and opinionated formatter for R code,https://github.com/posit-dev/air,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-ci-build-firmware-media-ops,skills/generated/shards/nexus-06/b06-ci-build-firmware-media-ops/SKILL.md
aircrack-ng,Next-generation aircrack with lots of new features,https://aircrack-ng.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,security-and-crypto-ops,skills/generated/shards/nexus-02/security-and-crypto-ops/SKILL.md
airshare,Cross-platform content sharing in a local network,https://airshare.readthedocs.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-secrets-qt-k8s-identity,skills/generated/shards/nexus-09/b09-secrets-qt-k8s-identity/SKILL.md
airspy,Driver and tools for a software-defined radio,https://airspy.com/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-download-db-messaging-sec,skills/generated/shards/nexus-10/b10-download-db-messaging-sec/SKILL.md
aiven-client,Official command-line client for Aiven,https://aiven.io/docs/tools/cli,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-shell-search-sync-build,skills/generated/shards/nexus-07/b07-shell-search-sync-build/SKILL.md
akamai,CLI toolkit for working with Akamai's APIs,https://github.com/akamai/cli,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,cloud-and-platform-clis,skills/generated/shards/nexus-02/cloud-and-platform-clis/SKILL.md
alda,Music programming language for musicians,https://alda.io,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-sql-format-release-desktop,skills/generated/shards/nexus-08/b08-sql-format-release-desktop/SKILL.md
algol68g,Algol 68 compiler-interpreter,https://jmvdveer.home.xs4all.nl/algol.html,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-db-k8s-firmware-observability,skills/generated/shards/nexus-07/b07-db-k8s-firmware-observability/SKILL.md
alive2,Automatic verification of LLVM optimizations,https://github.com/AliveToolkit/alive2,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-download-db-messaging-sec,skills/generated/shards/nexus-10/b10-download-db-messaging-sec/SKILL.md
aliyun-cli,Universal Command-Line Interface for Alibaba Cloud,https://github.com/aliyun/aliyun-cli,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,cloud-and-platform-clis,skills/generated/shards/nexus-02/cloud-and-platform-clis/SKILL.md
allegro,C/C++ multimedia library for cross-platform game development,https://liballeg.org/,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b06-filesystem-debug-presentation-ml,skills/generated/shards/nexus-06/b06-filesystem-debug-presentation-ml/SKILL.md
alloy-analyzer,Open-source language and analyzer for software modeling,https://alloytools.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-java-graphql-monitoring,skills/generated/shards/nexus-10/b10-java-graphql-monitoring/SKILL.md
alot,Text mode MUA using notmuch mail,https://github.com/pazz/alot,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-zig-recon-dns-markdown,skills/generated/shards/nexus-09/b09-zig-recon-dns-markdown/SKILL.md
alpine,News and email agent,https://alpineapp.email,"JSON-RPC/WebSocket, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b10-api-stream-db-container,skills/generated/shards/nexus-10/b10-api-stream-db-container/SKILL.md
alsa-lib,Provides audio and MIDI functionality to the Linux operating system,https://www.alsa-project.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-shell-systems-compression-media,skills/generated/shards/nexus-06/b06-shell-systems-compression-media/SKILL.md
amazon-ecs-cli,CLI for Amazon ECS to manage clusters and tasks for development,https://aws.amazon.com/ecs/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-app-streaming-db-ops,skills/generated/shards/nexus-08/b08-app-streaming-db-ops/SKILL.md
amber,"Crystal web framework. Bare metal performance, productivity and happiness",https://amberframework.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-runtime-security-dataops,skills/generated/shards/nexus-10/b10-runtime-security-dataops/SKILL.md
amfora,Fancy terminal browser for the Gemini protocol,https://github.com/makew0rld/amfora,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-governance-k8s-docs-observability,skills/generated/shards/nexus-09/b09-governance-k8s-docs-observability/SKILL.md
amp,Text editor for your terminal,https://amp.rs,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-sql-format-release-desktop,skills/generated/shards/nexus-08/b08-sql-format-release-desktop/SKILL.md
angle-grinder,Slice and dice log files on the command-line,https://github.com/rcoh/angle-grinder,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-storage-sql-sdr-cloud,skills/generated/shards/nexus-08/b08-storage-sql-sdr-cloud/SKILL.md
angular-cli,CLI tool for Angular,https://angular.dev/cli/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,javascript-web-and-node-tooling,skills/generated/shards/nexus-02/javascript-web-and-node-tooling/SKILL.md
animdl,Anime downloader and streamer,https://github.com/justfoolingaround/animdl,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-terminal-java-media-forensics,skills/generated/shards/nexus-10/b10-terminal-java-media-forensics/SKILL.md
ansible-builder,CLI tool for building Ansible Execution Environments (Containers),https://ansible-builder.readthedocs.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
ansible-cmdb,Generates static HTML overview page from Ansible facts,https://github.com/fboender/ansible-cmdb,"SQL/DB protocol, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b09-emulator-python-markup-network,skills/generated/shards/nexus-09/b09-emulator-python-markup-network/SKILL.md
ansible-language-server,Language Server for Ansible Files,https://github.com/ansible/vscode-ansible,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-bio-shell-devops-audio,skills/generated/shards/nexus-08/b08-bio-shell-devops-audio/SKILL.md
ansible@10,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-code-workflow-storage,skills/generated/shards/nexus-07/b07-code-workflow-storage/SKILL.md
ansiweather,"Weather in your terminal, with ANSI colors and Unicode symbols",https://github.com/fcambus/ansiweather,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-java-graphql-monitoring,skills/generated/shards/nexus-10/b10-java-graphql-monitoring/SKILL.md
ant,Java build tool,https://ant.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,jvm-dotnet-enterprise-stack,skills/generated/shards/nexus-02/jvm-dotnet-enterprise-stack/SKILL.md
antiword,Utility to read Word (.doc) files,https://web.archive.org/web/20221207132720/http://www.winfield.demon.nl/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-docs-content-publishing,skills/generated/shards/nexus-04/b04-docs-content-publishing/SKILL.md
anycable-go,WebSocket server with action cable protocol,https://github.com/anycable/anycable,"JSON-RPC/WebSocket, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b07-fortran-vulkan-automation,skills/generated/shards/nexus-07/b07-fortran-vulkan-automation/SKILL.md
anyquery,Query anything with SQL,https://anyquery.dev,"SQL/DB protocol, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b09-typesetting-fleet-runtime-web,skills/generated/shards/nexus-09/b09-typesetting-fleet-runtime-web/SKILL.md
apache-flink,Scalable batch and stream data processing,https://flink.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
apache-geode,In-memory Data Grid for fast transactional data processing,https://geode.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-signal-boot-wayland-security,skills/generated/shards/nexus-09/b09-signal-boot-wayland-security/SKILL.md
apache-opennlp,Machine learning toolkit for processing natural language text,https://opennlp.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-productivity-backup-hardware,skills/generated/shards/nexus-08/b08-productivity-backup-hardware/SKILL.md
apache-pulsar,Cloud-native distributed messaging and streaming platform,https://pulsar.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-app-streaming-db-ops,skills/generated/shards/nexus-08/b08-app-streaming-db-ops/SKILL.md
apache-spark,Engine for large-scale data processing,https://spark.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,python-and-data-science,skills/generated/shards/nexus-02/python-and-data-science/SKILL.md
apcupsd,Daemon for controlling APC UPSes,http://www.apcupsd.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-java-graphql-monitoring,skills/generated/shards/nexus-10/b10-java-graphql-monitoring/SKILL.md
apkleaks,"Scanning APK file for URIs, endpoints & secrets",https://github.com/dwisiswant0/apkleaks,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-signal-boot-wayland-security,skills/generated/shards/nexus-09/b09-signal-boot-wayland-security/SKILL.md
apko,Build OCI images from APK packages directly without Dockerfile,https://github.com/chainguard-dev/apko,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
apngasm,"Next generation of apngasm, the APNG assembler",https://github.com/apngasm/apngasm,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-ai-container-geo-cli,skills/generated/shards/nexus-07/b07-ai-container-geo-cli/SKILL.md
apprise,Send notifications from the command-line to popular notification services,https://pypi.org/project/apprise/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-shell-docs-mail-ops,skills/generated/shards/nexus-08/b08-shell-docs-mail-ops/SKILL.md
apr,Apache Portable Runtime library,https://apr.apache.org/,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
apr-util,"Companion library to apr, the Apache Portable Runtime library",https://apr.apache.org/,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
apt,Advanced Package Tool,https://wiki.debian.org/Apt,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-bio-shell-devops-audio,skills/generated/shards/nexus-08/b08-bio-shell-devops-audio/SKILL.md
apt-dater,Manage package updates on remote hosts using SSH,https://github.com/DE-IBH/apt-dater,"SSH, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
aptos,Layer 1 blockchain built to support fair access to decentralized assets for all,https://aptosfoundation.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-ai-ml-model-serving,skills/generated/shards/nexus-04/b04-ai-ml-model-serving/SKILL.md
aqbanking,Generic online banking interface,https://www.aquamaniac.de/rdm/projects/aqbanking,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-remote-runtime-infra,skills/generated/shards/nexus-07/b07-remote-runtime-infra/SKILL.md
aqtinstall,Another unofficial Qt installer,https://github.com/miurahr/aqtinstall,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-dns-proxy-optimization-toolchain,skills/generated/shards/nexus-08/b08-dns-proxy-optimization-toolchain/SKILL.md
aravis,Vision library for genicam based cameras,https://github.com/AravisProject/aravis,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b06-network-dns-go-testing-storage,skills/generated/shards/nexus-06/b06-network-dns-go-testing-storage/SKILL.md
arcade-learning-environment,Platform for AI research,https://github.com/Farama-Foundation/Arcade-Learning-Environment,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-shell-search-sync-build,skills/generated/shards/nexus-07/b07-shell-search-sync-build/SKILL.md
archey4,Simple system information tool written in Python,https://github.com/HorlogeSkynet/archey4,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
arduino-cli,Arduino command-line interface,https://arduino.github.io/arduino-cli/latest/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,mobile-and-embedded-devices,skills/generated/shards/nexus-02/mobile-and-embedded-devices/SKILL.md
argc,Easily create and use cli based on bash script,https://github.com/sigoden/argc,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-analytics-security-genomics,skills/generated/shards/nexus-08/b08-analytics-security-genomics/SKILL.md
argo,Get stuff done with container-native workflows for Kubernetes,https://argoproj.io,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
argocd-autopilot,Opinionated way of installing Argo CD and managing GitOps repositories,https://argoproj.io,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-gitops-k8s-data,skills/generated/shards/nexus-07/b07-gitops-k8s-data/SKILL.md
argp-standalone,Standalone version of arguments parsing functions from GLIBC,https://github.com/argp-standalone/argp-standalone,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-productivity-backup-hardware,skills/generated/shards/nexus-08/b08-productivity-backup-hardware/SKILL.md
argyll-cms,ICC compatible color management system,https://www.argyllcms.com/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-system-analysis-netsec,skills/generated/shards/nexus-07/b07-system-analysis-netsec/SKILL.md
aribb24,"Library for ARIB STD-B24, decoding JIS 8 bit characters and parsing MPEG-TS",https://code.videolan.org/jeeb/aribb24,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b07-profiling-build-dns,skills/generated/shards/nexus-07/b07-profiling-build-dns/SKILL.md
arjun,HTTP parameter discovery suite,https://github.com/s0md3v/Arjun,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-zig-recon-dns-markdown,skills/generated/shards/nexus-09/b09-zig-recon-dns-markdown/SKILL.md
arm-linux-gnueabihf-binutils,FSF/GNU binutils for cross-compiling to arm-linux,https://www.gnu.org/software/binutils/binutils.html,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
arm-none-eabi-binutils,GNU Binutils for arm-none-eabi cross development,https://www.gnu.org/software/binutils/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-gitops-k8s-data,skills/generated/shards/nexus-07/b07-gitops-k8s-data/SKILL.md
arm-none-eabi-gcc,GNU compiler collection for arm-none-eabi,https://gcc.gnu.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,c-cpp-systems-and-build,skills/generated/shards/nexus-02/c-cpp-systems-and-build/SKILL.md
arm-none-eabi-gdb,GNU debugger for arm-none-eabi cross development,https://www.gnu.org/software/gdb/,"SQL/DB protocol, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
armadillo,C++ linear algebra library,https://arma.sourceforge.net/,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
arrayfire,General purpose GPU library,https://arrayfire.com,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b08-productivity-backup-hardware,skills/generated/shards/nexus-08/b08-productivity-backup-hardware/SKILL.md
artillery,Cloud-native performance & reliability testing for developers and SREs,https://www.artillery.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-network-dns-go-testing-storage,skills/generated/shards/nexus-06/b06-network-dns-go-testing-storage/SKILL.md
arxiv_latex_cleaner,Clean LaTeX code to submit to arXiv,https://github.com/google-research/arxiv-latex-cleaner,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-shell-docs-mail-ops,skills/generated/shards/nexus-08/b08-shell-docs-mail-ops/SKILL.md
asc,"Fast, lightweight CLI for App Store Connect",https://asccli.sh,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b08-systems-cache-networking,skills/generated/shards/nexus-08/b08-systems-cache-networking/SKILL.md
ascii,List ASCII idiomatic names and octal/decimal code-point forms,http://www.catb.org/~esr/ascii/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-config-template-security,skills/generated/shards/nexus-07/b07-config-template-security/SKILL.md
asciidoc,Formatter/translator for text files to numerous formats,https://asciidoc-py.github.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-git-code-review-release,skills/generated/shards/nexus-04/b04-git-code-review-release/SKILL.md
asciinema,Record and share terminal sessions,https://asciinema.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,terminal-shell-and-productivity,skills/generated/shards/nexus-02/terminal-shell-and-productivity/SKILL.md
asitop,Perf monitoring CLI tool for Apple Silicon,https://tlkh.github.io/asitop/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-system-observability-hardware,skills/generated/shards/nexus-04/b04-system-observability-hardware/SKILL.md
asn,Organization lookup and server tool (ASN / IPv4 / IPv6 / Prefix / AS Path),https://github.com/nitefood/asn,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-vmware-security-graphics-automation,skills/generated/shards/nexus-09/b09-vmware-security-graphics-automation/SKILL.md
aspcud,Package dependency solver,https://potassco.org/aspcud/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-quality-media-supplychain,skills/generated/shards/nexus-10/b10-quality-media-supplychain/SKILL.md
astgen,Generate AST in json format for JS/TS,https://github.com/joernio/astgen,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-runtime-security-dataops,skills/generated/shards/nexus-10/b10-runtime-security-dataops/SKILL.md
astrometry-net,Automatic identification of astronomical images,https://github.com/dstndstn/astrometry.net,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-gitops-k8s-data,skills/generated/shards/nexus-07/b07-gitops-k8s-data/SKILL.md
astroterm,Planetarium for your terminal,https://github.com/da-luce/astroterm,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-language-repo-automation-analytics,skills/generated/shards/nexus-06/b06-language-repo-automation-analytics/SKILL.md
