service,description,homepage,protocols,auth_mode,auth_required,api_key_needed,prompt_policy,skills_using_count,skills_using,skill_paths
docker-machine,Create Docker hosts locally and on cloud providers,https://docs.gitlab.com/runner/executors/docker_machine.html,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
docker-machine-driver-vmware,VMware Fusion & Workstation docker-machine driver,https://www.vmware.com/products/personal-desktop-virtualization.html,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-vmware-security-graphics-automation,skills/generated/shards/nexus-09/b09-vmware-security-graphics-automation/SKILL.md
docker-squash,Docker image squashing tool,https://github.com/goldmann/docker-squash,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
dockerize,Utility to simplify running applications in docker containers,https://github.com/jwilder/dockerize,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-devops-visualization-bootstrap,skills/generated/shards/nexus-06/b06-devops-visualization-bootstrap/SKILL.md
dockly,Immersive terminal interface for managing docker containers and services,https://lirantal.github.io/dockly/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-api-stream-db-container,skills/generated/shards/nexus-10/b10-api-stream-db-container/SKILL.md
dra,Command-line tool to download release assets from GitHub,https://github.com/devmatteini/dra,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-schema-mobile-dns-quality,skills/generated/shards/nexus-10/b10-schema-mobile-dns-quality/SKILL.md
ducker,Slightly quackers Docker TUI based on k9s,https://github.com/robertpsoane/ducker,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-security-monitoring-devtools,skills/generated/shards/nexus-07/b07-security-monitoring-devtools/SKILL.md
eget,Easily install prebuilt binaries from GitHub,https://github.com/zyedidia/eget,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-profiling-build-dns,skills/generated/shards/nexus-07/b07-profiling-build-dns/SKILL.md
fetch,"Download assets from a commit, branch, or tag of GitHub repositories",https://www.gruntwork.io/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,git-ci-and-release-automation,skills/generated/shards/nexus-02/git-ci-and-release-automation/SKILL.md
fleet-cli,Manage large fleets of Kubernetes clusters,https://github.com/rancher/fleet,"HTTPS/REST, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-typesetting-fleet-runtime-web,skills/generated/shards/nexus-09/b09-typesetting-fleet-runtime-web/SKILL.md
ghalint,GitHub Actions linter,https://github.com/suzuki-shunsuke/ghalint,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-web-data-mail-security,skills/generated/shards/nexus-08/b08-web-data-mail-security/SKILL.md
ghr,Upload multiple artifacts to GitHub Release in parallel,https://github.com/tcnksm/ghr,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,git-ci-and-release-automation,skills/generated/shards/nexus-02/git-ci-and-release-automation/SKILL.md
git-remote-codecommit,Git Remote Helper to interact with AWS CodeCommit,https://github.com/aws/git-remote-codecommit,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
github-mcp-server,GitHub Model Context Protocol server for AI tools,https://github.com/github/github-mcp-server,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-git-code-review-release,skills/generated/shards/nexus-04/b04-git-code-review-release/SKILL.md
github-release,Create and edit releases on Github (and upload artifacts),https://github.com/github-release/github-release,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-k8s-proxy-crypto-dotfiles,skills/generated/shards/nexus-10/b10-k8s-proxy-crypto-dotfiles/SKILL.md
gitlab-runner,Official GitLab CI runner,https://gitlab.com/gitlab-org/gitlab-runner,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,git-ci-and-release-automation,skills/generated/shards/nexus-02/git-ci-and-release-automation/SKILL.md
helmify,Create Helm chart from Kubernetes yaml,https://github.com/arttor/helmify,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-config-template-security,skills/generated/shards/nexus-07/b07-config-template-security/SKILL.md
hub,Add GitHub support to git on the command-line,https://hub.github.com/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,git-ci-and-release-automation,skills/generated/shards/nexus-02/git-ci-and-release-automation/SKILL.md
iamy,AWS IAM import and export tool,https://github.com/99designs/iamy,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-shell-observability-netops,skills/generated/shards/nexus-10/b10-shell-observability-netops/SKILL.md
ingress2gateway,Convert Kubernetes Ingress resources to Kubernetes Gateway API resources,https://github.com/kubernetes-sigs/ingress2gateway,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-net-media-build-cli,skills/generated/shards/nexus-07/b07-net-media-build-cli/SKILL.md
ipinfo-cli,Official CLI for the IPinfo IP Address API,https://ipinfo.io/,"HTTPS/REST, CLI/stdin-stdout",API key,yes,yes,Check `IPINFO_TOKEN` first and validate auth with a lightweight request. Ask user for the IPinfo API key only if missing/invalid/expired.,1,b09-typesetting-fleet-runtime-web,skills/generated/shards/nexus-09/b09-typesetting-fleet-runtime-web/SKILL.md
kagent,Kubernetes native framework for building AI agents,https://kagent.dev,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-ml-voip-docs-data,skills/generated/shards/nexus-09/b09-ml-voip-docs-data/SKILL.md
kapp,CLI tool for Kubernetes users to group and manage bulk resources,https://carvel.dev/kapp/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-secrets-qt-k8s-identity,skills/generated/shards/nexus-09/b09-secrets-qt-k8s-identity/SKILL.md
ko,Build and deploy Go applications on Kubernetes,https://ko.build,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
kompose,Tool to move from `docker-compose` to Kubernetes,https://kompose.io/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
kops,"Production Grade K8s Installation, Upgrades, and Management",https://kops.sigs.k8s.io/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
kor,CLI tool to discover unused Kubernetes resources,https://github.com/yonahd/kor,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-emulation-k8s-api-gateway-build,skills/generated/shards/nexus-06/b06-emulation-k8s-api-gateway-build/SKILL.md
ktop,Top-like tool for your Kubernetes clusters,https://github.com/vladimirvivien/ktop,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-runtime-dns-mailing-workflows,skills/generated/shards/nexus-08/b08-runtime-dns-mailing-workflows/SKILL.md
kube-bench,Checks Kubernetes deployment against security best practices (CIS Benchmark),https://github.com/aquasecurity/kube-bench,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-db-k8s-firmware-observability,skills/generated/shards/nexus-07/b07-db-k8s-firmware-observability/SKILL.md
kubecfg,Manage complex enterprise Kubernetes environments as code,https://github.com/kubecfg/kubecfg,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-governance-k8s-docs-observability,skills/generated/shards/nexus-09/b09-governance-k8s-docs-observability/SKILL.md
kubekey,"Installer for Kubernetes and / or KubeSphere, and related cloud-native add-ons",https://kubesphere.io,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-media-k8s-encryption-web,skills/generated/shards/nexus-10/b10-media-k8s-encryption-web/SKILL.md
kubernetes-cli@1.30,Kubernetes command-line interface,https://kubernetes.io/docs/reference/kubectl/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-db-k8s-firmware-observability,skills/generated/shards/nexus-07/b07-db-k8s-firmware-observability/SKILL.md
kubernetes-cli@1.31,Kubernetes command-line interface,https://kubernetes.io/docs/reference/kubectl/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-automation-telemetry-k8s-docs,skills/generated/shards/nexus-06/b06-automation-telemetry-k8s-docs/SKILL.md
kubernetes-cli@1.32,Kubernetes command-line interface,https://kubernetes.io/docs/reference/kubectl/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-filesystem-debug-presentation-ml,skills/generated/shards/nexus-06/b06-filesystem-debug-presentation-ml/SKILL.md
kubernetes-cli@1.33,Kubernetes command-line interface,https://kubernetes.io/docs/reference/kubectl/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-vmware-security-graphics-automation,skills/generated/shards/nexus-09/b09-vmware-security-graphics-automation/SKILL.md
kubernetes-mcp-server,MCP server for Kubernetes,https://github.com/containers/kubernetes-mcp-server,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-k8s-proxy-crypto-dotfiles,skills/generated/shards/nexus-10/b10-k8s-proxy-crypto-dotfiles/SKILL.md
kubeseal,Kubernetes controller and tool for one-way encrypted Secrets,https://github.com/bitnami-labs/sealed-secrets,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
kubeshark,API Traffic Analyzer providing real-time visibility into Kubernetes network,https://kubeshark.com,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
kubetail,Logging tool for Kubernetes with a real-time web dashboard,https://www.kubetail.com/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
kubetui,TUI tool for monitoring and exploration of Kubernetes resources,https://github.com/sarub0b0/kubetui,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-modeling-crypto-k8s-observability,skills/generated/shards/nexus-06/b06-modeling-crypto-k8s-observability/SKILL.md
kubevela,Application Platform based on Kubernetes and Open Application Model,https://kubevela.io,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-bio-shell-devops-audio,skills/generated/shards/nexus-08/b08-bio-shell-devops-audio/SKILL.md
kwctl,CLI tool for the Kubewarden policy engine for Kubernetes,https://www.kubewarden.io/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-media-k8s-encryption-web,skills/generated/shards/nexus-10/b10-media-k8s-encryption-web/SKILL.md
kwok,Kubernetes WithOut Kubelet - Simulates thousands of Nodes and Clusters,https://kwok.sigs.k8s.io,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-platform-build-geo-sdr,skills/generated/shards/nexus-10/b10-platform-build-geo-sdr/SKILL.md
lazyjournal,"TUI for logs from journalctl, file system, Docker, Podman and Kubernetes pods",https://github.com/Lifailon/lazyjournal,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-ci-build-firmware-media-ops,skills/generated/shards/nexus-06/b06-ci-build-firmware-media-ops/SKILL.md
localstack,Fully functional local AWS cloud stack,https://localstack.cloud/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,cloud-and-platform-clis,skills/generated/shards/nexus-02/cloud-and-platform-clis/SKILL.md
mcp-server-kubernetes,MCP Server for kubernetes management commands,https://github.com/Flux159/mcp-server-kubernetes,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-api-stream-db-container,skills/generated/shards/nexus-10/b10-api-stream-db-container/SKILL.md
moto,Mock AWS services,http://getmoto.org/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-net-media-build-cli,skills/generated/shards/nexus-07/b07-net-media-build-cli/SKILL.md
nelm,Kubernetes deployment tool that manages and deploys Helm Charts,https://github.com/werf/nelm,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-cli-audit-3d-filesystems,skills/generated/shards/nexus-09/b09-cli-audit-3d-filesystems/SKILL.md
nerdctl,ContaiNERD CTL - Docker-compatible CLI for containerd,https://github.com/containerd/nerdctl,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
nixpacks,App source + Nix packages + Docker = Image,https://nixpacks.com/docs/getting-started,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-ci-build-firmware-media-ops,skills/generated/shards/nexus-06/b06-ci-build-firmware-media-ops/SKILL.md
