core_method,skills_count,recommendation,external_tool_stack,rationale
attack-surface modeling,25,hybrid,OPA/Rego | HashiCorp Vault/KMS | SIEM (Splunk/Elastic Security) | Cloud IAM/Audit logs,"LLM helps reasoning, but enforcement/evidence should come from policy/security systems."
baseline-delta detection,25,tool-primary,Prometheus+Alertmanager | OpenTelemetry | Grafana/Superset/Metabase | Evidently/WhyLabs,Metrics ingestion/alerting/visualization are deterministic system functions.
calibration curves and error bins,25,hybrid,OR-Tools/Pyomo | Pandas/Polars | Great Expectations,Quantitative scoring benefits from deterministic numeric tooling.
capacity-aware allocation,25,tool-primary,Temporal/Prefect/Airflow | Celery/queues | Kubernetes CronJobs | Argo Workflows,Workflow execution/retries/state are safer in orchestration engines.
closed-loop prioritization,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
competency coverage analysis,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
confidence-bound communication templates,25,model-primary,Frontier model + optional memory/RAG,Language quality and synthesis are frontier-model strengths.
contracted payload schemas,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
cost-impact simulation,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
counterfactual replay,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
cross-claim consistency checks,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
dependency graph compilation,25,tool-primary,Neo4j/Memgraph | RDF/SPARQL stores | NetworkX/graph-tool,Graph persistence and query semantics outperform pure LLM memory.
entity and relation linking,25,tool-primary,Neo4j/Memgraph | RDF/SPARQL stores | NetworkX/graph-tool,Graph persistence and query semantics outperform pure LLM memory.
episodic-to-semantic consolidation,25,tool-primary,OpenSearch/Elasticsearch (BM25) | Qdrant/Weaviate/pgvector (vector search) | Cohere/Jina rerankers,Search+ranking quality and latency are better with dedicated IR stacks.
error pattern mining,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
failover and restoration sequencing,25,tool-primary,Temporal/Prefect/Airflow | Celery/queues | Kubernetes CronJobs | Argo Workflows,Workflow execution/retries/state are safer in orchestration engines.
failure-type clustering,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
feedback normalization and clustering,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
group-level impact scoring,25,hybrid,OR-Tools/Pyomo | Pandas/Polars | Great Expectations,Quantitative scoring benefits from deterministic numeric tooling.
guided mediation prompts,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
hierarchical decomposition,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
hypothesis-driven design,25,tool-primary,LaunchDarkly/Unleash | Statsig/Optimizely | Sequential testing libs (SciPy/Statsmodels),Experiment assignment and statistical guardrails should be system-enforced.
importance scoring,25,hybrid,OR-Tools/Pyomo | Pandas/Polars | Great Expectations,Quantitative scoring benefits from deterministic numeric tooling.
metric synthesis and publication,25,tool-primary,Prometheus+Alertmanager | OpenTelemetry | Grafana/Superset/Metabase | Evidently/WhyLabs,Metrics ingestion/alerting/visualization are deterministic system functions.
multi-criteria plan scoring,25,hybrid,OR-Tools/Pyomo | Pandas/Polars | Great Expectations,Quantitative scoring benefits from deterministic numeric tooling.
pattern-to-playbook synthesis,25,tool-primary,Temporal/Prefect/Airflow | Celery/queues | Kubernetes CronJobs | Argo Workflows,Workflow execution/retries/state are safer in orchestration engines.
policy-scoped data mediation,25,hybrid,OPA/Rego | HashiCorp Vault/KMS | SIEM (Splunk/Elastic Security) | Cloud IAM/Audit logs,"LLM helps reasoning, but enforcement/evidence should come from policy/security systems."
reason synthesis and abstraction,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
requirement-to-evidence mapping,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
reviewer routing policies,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
risk-weighted sequencing,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
rule compilation,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
schema mapping and validation,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
semantic relevance scoring,25,tool-primary,OpenSearch/Elasticsearch (BM25) | Qdrant/Weaviate/pgvector (vector search) | Cohere/Jina rerankers,Search+ranking quality and latency are better with dedicated IR stacks.
sequenced learning path design,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
signed provenance links,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
staged rollout policies,25,tool-primary,LaunchDarkly/Unleash | Statsig/Optimizely | Sequential testing libs (SciPy/Statsmodels),Experiment assignment and statistical guardrails should be system-enforced.
structured bargaining protocols,25,hybrid,Frontier model + targeted deterministic services,Default to hybrid unless capability is purely linguistic or purely systems execution.
telemetry aggregation and SLO checks,25,tool-primary,Prometheus+Alertmanager | OpenTelemetry | Grafana/Superset/Metabase | Evidently/WhyLabs,Metrics ingestion/alerting/visualization are deterministic system functions.
