rank,tool,command_hint,type,access,description,homepage,license
1741,incus,incus,cli,local-installable,CLI client for interacting with Incus,https://linuxcontainers.org/incus,Apache-2.0
1753,aws-sso-cli,aws-sso-cli,cli,local-installable,Securely manage AWS API credentials using AWS SSO,https://synfinatic.github.io/aws-sso-cli/,GPL-3.0-only
1760,tgenv,tgenv,cli,local-installable,Terragrunt version manager inspired by tfenv,https://github.com/tgenv/tgenv,MIT
1772,pcl,pcl,library/runtime,local-installable,Library for 2D/3D image and point cloud processing,https://pointclouds.org/,BSD-3-Clause
1775,terrascan,terrascan,cli,local-installable,Detect compliance and security violations across Infrastructure as Code,https://runterrascan.io/,Apache-2.0
1776,devspace,devspace,cli,local-installable,CLI helps develop/deploy/debug apps with Docker and k8s,https://devspace.sh/,Apache-2.0
1779,kubecm,kubecm,cli,local-installable,KubeConfig Manager,https://kubecm.cloud,Apache-2.0
1780,cdktf,cdktf,cli,local-installable,Cloud Development Kit for Terraform,https://github.com/hashicorp/terraform-cdk,MPL-2.0
1797,copilot,copilot,cli,local-installable,CLI tool for Amazon ECS and AWS Fargate,https://aws.github.io/copilot-cli/,Apache-2.0
1798,coder,coder,cli,local-installable,Tool for provisioning self-hosted development environments with Terraform,https://coder.com,AGPL-3.0-only
1803,testkube,testkube,cli,local-installable,Kubernetes-native framework for test definition and execution,https://testkube.io,MIT
1813,nerdctl,nerdctl,cli,local-installable,ContaiNERD CTL - Docker-compatible CLI for containerd,https://github.com/containerd/nerdctl,Apache-2.0
1826,aws-shell,aws-shell,cli,local-installable,Integrated shell for working with the AWS CLI,https://github.com/awslabs/aws-shell,Apache-2.0
1837,pluto,pluto,cli,local-installable,CLI tool to help discover deprecated apiVersions in Kubernetes,https://fairwinds.com,Apache-2.0
1843,awslogs,awslogs,cli,local-installable,Simple command-line tool to read AWS CloudWatch logs,https://github.com/jorgebastida/awslogs,BSD-3-Clause
1846,git-remote-codecommit,git-remote-codecommit,cli,local-installable,Git Remote Helper to interact with AWS CodeCommit,https://github.com/aws/git-remote-codecommit,Apache-2.0
1855,vcluster,vcluster,cli,local-installable,Creates fully functional virtual k8s cluster inside host k8s cluster's namespace,https://www.vcluster.com,Apache-2.0
1868,ocicl,ocicl,cli,local-installable,OCI-based ASDF system distribution and management tool for Common Lisp,https://github.com/ocicl/ocicl,MIT
1877,terraform-local,terraform-local,cli,local-installable,CLI wrapper to deploy your Terraform applications directly to LocalStack,https://localstack.cloud/,Apache-2.0
1911,copa,copa,cli,local-installable,Tool to directly patch container images given the vulnerability scanning results,https://github.com/project-copacetic/copacetic,Apache-2.0
1915,traefik,traefik,service/daemon,local-installable,Modern reverse proxy,https://traefik.io/,MIT
1917,dnscontrol,dnscontrol,cli,local-installable,Synchronize your DNS to multiple providers from a simple DSL,https://dnscontrol.org/,MIT
1918,kubeshark,kubeshark,cli,local-installable,API Traffic Analyzer providing real-time visibility into Kubernetes network,https://kubeshark.com,Apache-2.0
1930,helm-ls,helm-ls,service/daemon,local-installable,Language server for Helm,https://github.com/mrjosh/helm-ls,MIT
1954,podman-tui,podman-tui,cli,local-installable,Podman Terminal User Interface,https://github.com/containers/podman-tui,Apache-2.0
1962,linode-cli,linode-cli,cli,local-installable,CLI for the Linode API,https://github.com/linode/linode-cli,BSD-3-Clause
1965,calicoctl,calicoctl,cli,local-installable,Calico CLI tool,https://www.tigera.io/project-calico/,Apache-2.0
1972,chart-testing,chart-testing,cli,local-installable,Testing and linting Helm charts,https://github.com/helm/chart-testing,Apache-2.0
1975,awsume,awsume,cli,local-installable,Utility for easily assuming AWS IAM roles from the command-line,https://awsu.me,MIT
